"Messenger","85-100 percentile peak averages for one month ending: Thu Apr  5 11:00:00 2007"
"6500s:"
"Host","CPU Utilization","Used Memory (MB)","Free Memory (MB)"
"bay-6nx-msgr-1a","4.15%","53.38","340.09"
"bay-6nx-msgr-1b","4.89%","51.87","341.23"
"bay-6nx-msgr-2a","5.71%","47.85","345.30"
"bay-6nx-msgr-2b","4.84%","47.96","345.10"
"bay-6nx-msgr-3a","4.94%","50.19","342.90"
"bay-6nx-msgr-3b","5.19%","49.99","343.12"
"bay-6nx-msgr-4a","5.89%","49.91","343.13"
"bay-6nx-msgr-4b","5.99%","50.07","343.02"
"bay-6nx-msgr-5a","27.50%","50.25","342.83"
"bay-6nx-msgr-5b","4.94%","50.10","343.01"
"blu-65x-msgr-2-05","4.16%","47.75","857.35"
"blu-65x-msgr-2-06","4.77%","48.04","857.36"
"by2-6nx-msgr-1a","17.25%","57.18","336.06"
"by2-6nx-msgr-1b","13.33%","57.08","336.14"
"by2-6nx-msgr-2a","11.42%","57.48","335.77"
"by2-6nx-msgr-2b","11.34%","56.85","336.41"

"F5s:"
"Host","Client Mbit/s","Server Mbit/s","Client Connections","Server Connections","TMM Utilization"
"bay-f6b-msgr-2a","2.29","2.28","186.61","186.61","0.49%"
"bay-f6b-msgr-2b","0.03","0.03","3.43","3.43","0.47%"
"bay-f6b-msgr-3a","2.52","2.51","177.34","177.34","0.52%"
"bay-f6b-msgr-3b","0.03","0.03","2.35","2.33","0.48%"
"bay-f6b-msgr-4a","1.02","1.01","186.92","186.92","0.51%"
"bay-f6b-msgr-4b","0.03","0.03","1.83","1.83","0.68%"
"bay-f6b-msgr-5a","0.95","0.94","184.74","184.74","0.51%"
"bay-f6b-msgr-5b","0.03","0.03","3.17","3.17","0.46%"
"bay-f6f-msgr-1a","110.38","110.05","49684.11","49681.53","10.93%"
"bay-f6f-msgr-1b","127.88","127.46","58764.37","58763.87","12.42%"
"bay-f6f-msgr-2a","0.10","0.10","6709.53","6709.53","0.34%"
"bay-f6f-msgr-2b","193.52","193.01","80068.38","80062.13","11.42%"
"bay-f6f-msgr-3a","0.10","0.10","7707.81","7707.81","0.35%"
"bay-f6f-msgr-3b","173.72","173.29","75007.96","75009.84","10.97%"
"bay-f6f-msgr-4a","169.68","169.05","73699.95","73701.84","10.76%"
"bay-f6f-msgr-4b","0.12","0.12","6721.01","6721.01","0.34%"
"bay-f6f-msgr-5a","182.15","181.75","73200.59","73202.17","11.15%"
"bay-f6f-msgr-5b","135.79","135.49","56800.51","56801.53","7.95%"
"by2-f6b-msgr-1a","0.03","0.03","2.31","2.31","0.47%"
"by2-f6b-msgr-1b","0.34","0.33","194.28","194.28","0.47%"
"by2-f6b-msgr-1c","124.10","122.68","670.52","670.70","9.43%"
"by2-f6b-msgr-1d","125.34","124.19","669.28","669.45","13.11%"
"by2-f6b-msgr-2a","0.32","0.31","118.21","118.21","0.48%"
"by2-f6b-msgr-2b","0.03","0.03","2.26","2.26","0.48%"
"by2-f6b-msgr-2c","16.81","16.81","483.68","483.68","0.50%"
"by2-f6b-msgr-2d","0.02","0.02","487.89","487.89","0.20%"
"by2-f6f-msgr-1a","315.76","299.44","1922589.12","1921139.74","61.96%"
"by2-f6f-msgr-1b","253.66","237.09","1427726.70","1426146.75","48.54%"
"by2-f6f-msgr-2a","268.26","252.53","2161596.21","2160267.00","49.16%"
"by2-f6f-msgr-2b","28.52","0.11","3331.10","4.14","4.31%"
