01,ServerTech 10.03.01-2,10.41.136.224,ctipublic
02,ServerTech 10.01.02,10.41.136.217,ctipublic
03,ServerTech 10.01.04,10.41.136.218,ctipublic
04,ServerTech 10.02.03,10.41.136.219,ctipublic
05,ServerTech 10.02.04,10.41.136.220,ctipublic
06,ServerTech 10.02.07,10.41.136.221,ctipublic
07,ServerTech 10.02.08,10.41.136.222,ctipublic
08,ServerTech 10.03.01-1,10.41.136.223,ctipublic
09,ServerTech 10.03.02-1,10.41.136.225,ctipublic
10,ServerTech 10.03.02-2,10.41.136.226,ctipublic
11,ServerTech 10.03.03-1,10.41.136.227,ctipublic
12,ServerTech 10.03.03-2,10.41.136.228,ctipublic
13,ServerTech 10.03.04-1,10.41.136.229,ctipublic
14,ServerTech 10.03.05,10.41.136.230,ctipublic
15,ServerTech 10.03.06,10.41.136.231,ctipublic
